time,fuel_cP,fuel_k,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_heat_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_cP,monolith_k,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power
0,1092.7827035561,23.926419971639,843.06691154116,867.2756461484,813.58727884424,834.57975765646,332859.9751388,841.75543730944,863.08797325259,813.97358380254,1665.3967105342,35.618242961232,839.57176680722,865.78426022526,811.43216037368,345600
1,1092.7828850888,23.926398475759,843.06894169715,867.27604300188,813.58878857906,834.5982572947,327146.24723032,841.75687211852,863.08828716523,813.97998806341,1665.39692285,35.617483520205,839.57805448137,865.78469260889,811.45723575404,345599.25197192
1,1092.7828850796,23.926398484549,843.06894162562,867.27604291664,813.58878827969,834.59825727361,327146.2469102,841.75687211471,863.08828715724,813.97998801839,1665.3969228437,35.617483520303,839.5780544567,865.7846925699,811.45723574889,345599.21296817
1,1092.782884854,23.926398490028,843.06894127194,867.27604226713,813.58878809503,834.598257196,327146.24545641,841.75687209238,863.08828710025,813.97998798355,1665.396922626,35.617483520375,839.57805434379,865.78469222165,811.45723574519,345599.00942197
1,1092.7828847695,23.926398492869,843.06894112937,867.27604201648,813.58878799884,834.59825716458,327146.24487744,841.75687208345,863.08828707825,813.97998796536,1665.3969225443,35.617483520412,839.57805429832,865.78469208713,811.45723574325,345598.92782809
1,1092.7828847218,23.92639849454,843.06894104748,867.27604187424,813.58878794219,834.59825714652,327146.2445452,841.75687207832,863.08828706576,813.97998795461,1665.3969224981,35.617483520435,839.5780542722,865.78469201081,811.4572357421,345598.8809807
1,1092.7828846965,23.926398495509,843.06894100296,867.27604179835,813.58878790933,834.59825713669,327146.24436509,841.75687207554,863.0882870591,813.97998794836,1665.3969224737,35.617483520448,839.578054258,865.78469197008,811.45723574144,345598.8555415
1,1092.7828846836,23.926398496069,843.06894097921,867.27604175881,813.58878789032,834.59825713143,327146.24426944,841.75687207406,863.08828705563,813.97998794475,1665.3969224611,35.617483520455,839.57805425043,865.78469194886,811.45723574105,345598.84199571
1,1092.782884677,23.926398496392,843.06894096663,867.27604173845,813.58878787934,834.59825712864,327146.24421904,841.75687207328,863.08828705384,813.97998794265,1665.3969224548,35.617483520459,839.57805424642,865.78469193793,811.45723574083,345598.8348404
1,1092.7828846737,23.926398496579,843.06894095999,867.27604172803,813.58878787298,834.59825712717,327146.24419259,841.75687207286,863.08828705293,813.97998794144,1665.3969224516,35.617483520462,839.5780542443,865.78469193233,811.4572357407,345598.83106768
