index,product_form,fluence,cu,ni,mn,p,rtndt0,sigma_rtndt0,start_elevation,height,start_angle,angle,weld_area,weld_orientation,weld_child1,weld_child2
1,3,3.0,0.258,0.165,1.44,0.017,40,17,2.03175,2,0,0.714,0.862584,1,0,0
2,3,3.0,0.258,0.165,1.44,0.017,40,17,2.03175,2,120,0.714,0.862584,1,0,0
3,3,3.0,0.258,0.165,1.44,0.017,40,17,2.03175,2,240,0.714,0.862584,1,0,0
4,3,3.0,0.258,0.165,1.44,0.017,40,17,0,2,60,0.714,0.862584,1,0,0
5,3,3.0,0.258,0.165,1.44,0.017,40,17,0,2,180,0.714,0.862584,1,0,0
6,3,3.0,0.258,0.165,1.44,0.017,40,17,0,2,300,0.714,0.862584,1,0,0
7,3,3.0,0.258,0.165,1.44,0.017,40,17,2,0.03175,0,360,6.353911517,2,0,0
8,1,3.0,0.13,0.7,1.44,0.01,50,17,2.03175,2,0.714,119.286,0,0,0,0
9,1,3.0,0.13,0.7,1.44,0.01,50,17,2.03175,2,120.714,119.286,0,0,0,0
10,1,3.0,0.13,0.7,1.44,0.01,50,17,2.03175,2,240.714,119.286,0,0,0,0
11,1,3.0,0.13,0.7,1.44,0.01,50,17,0,2,300.714,119.286,0,0,0,0
12,1,3.0,0.13,0.7,1.44,0.01,50,17,0,2,60.714,119.286,0,0,0,0
13,1,3.0,0.13,0.7,1.44,0.01,50,17,0,2,180.714,119.286,0,0,0,0
